Designator,Mid X,Mid Y,Rotation,Layer
D1,196.0,-98.0,0.0,top
D10,217.05,-100.9,0.0,top
D11,141.05,-133.1,0.0,top
D12,185.05,-104.9,0.0,top
D13,184.95,-62.1,0.0,top
D17,160.05,-131.1,0.0,top
D2,154.0,-67.0,0.0,top
D3,154.0,-63.5,0.0,top
D4,147.0,-99.5,0.0,top
D5,147.0,-93.0,0.0,top
D6,147.0,-102.5,0.0,top
D7,158.5,-90.5,0.0,top
D8,178.05,-88.9,0.0,top
D9,197.55,-90.9,0.0,top
J1,135.115,-73.385,90.0,top
SW1,158.42,-75.41,0.0,top
SW2,177.96,-73.91,0.0,top
SW3,197.5,-75.91,0.0,top
SW4,141.0,-118.41,0.0,top
SW5,217.08,-85.91,0.0,top
SW6,160.5,-116.41,0.0,top
SW7,198.25,-57.1,0.0,top
U1,137.5,-60.2685,0.0,top
